Name,Code,Cat Code,Parent Manufacturer
American Louver,AMLV,PT_CAT376046,
AM Manufacturing,AMM,PT_CAT223710,
Ammex Corp,AMMX,PT_CAT235538,
American Metalcraft,AMN,PT_CATAMERICANMETALCRAFT,
My Amigo,AMOB,PT_CAT2905186,
American Paper Converting,AMPC,PT_CAT235630,
American Panel,AMPL,PT_CAT1008,
American Permalight,AMPT,PT_CAT375608,
American Range,AMR,PT_CAT1009,
Amerec,AMRC,PT_CAT223738,
American Standard,AMS,PT_CATAMERICANSTANDARD,
American Specialties Inc,AMSP,PT_CAT375527,
Ampco Safety Tools,AMST,PT_CAT374813,
Advanced Modern Tech,AMTC,PT_CAT376051,
American Tape,AMTP,PT_CAT374003,
Americo Vinyl & Fabric,AMVF,PT_CAT374456,
Amerivent,AMVT,PT_CAT376049,
Ancra Cargo,ANCA,PT_CAT375594,
Anchor Hocking,ANCH,PT_CAT374057,
Anderson Lock,AND,PT_CATANDERSONLOCK,
Anderic,ANDR,PT_CAT375870,
Anets,ANE,PT_CAT1011,Middleby
Anfim,ANF,PT_CAT28982320,
Angelo Po,ANG,PT_CAT242806,
Animo,ANI,PT_CAT2905155,
Brunner-Anliker,ANK,PT_CAT223683,
Analox Sensor Technology,ANLX,PT_CAT2779588,
Anchor Packaging,ANPA,PT_CAT374457,
Annovi Reverberi,ANRE,PT_CAT374815,
Accuenergy,ANRG,PT_CAT235454,
Ansell,ANSL,PT_CAT374015,
Anthony International,ANT,PT_CAT1012,
Anvil America,ANV,PT_CAT1013,
AO Smith Water Heater,AOSM,PT_CATAOSMITH,
Apc Filtration,APFL,PT_CAT374816,
Apache Hose,APHS,PT_CAT376052,
Aiphone Intercome,APIC,PT_CAT375422,
American Plumber,APL,PT_CAT224102,
Aprilaire,APLR,PT_CAT375863,
Apollo Valves,APLV,PT_CAT375403,
Apache Mills,APML,PT_CAT375319,
Atlas Paper Mills,APMS,PT_CAT235633,
Appleton,APPL,PT_CATAPPLETON,
Amprobe,APRB,PT_CAT374814,
Apollo Tools,APTL,PT_CAT375762,
APW Wyott,APW,PT_CAT1014,Middleby
Apex Tool Company,APX,PT_CATAPEXTOOLCOMPANY,
Apyron Tech,APYR,PT_CATAPYRONTECH,
Aquabrass,AQBS,PT_CAT375928,
Aqua King,AQG,PT_CAT223948,
Aqua Plumb,AQPB,PT_CAT374819,
Aquasana,AQSA,PT_CAT223957,
Aqua-Pure,AQU,PT_CAT243236,
Aqua Chempacs,AQUC,PT_CAT235632,
Rcr Arabrands,ARBR,PT_CAT374525,
Airboss,ARBS,PT_CAT376043,
